epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,663.551,0.64924,1.16988,1.04936,0.90722,0.91063,0.97438,0.86824,0.50085,1.68633,1.0367,0.000458,0.000458,0.000458
66,673.675,0.55524,1.28383,1.02993,0.88439,0.94249,0.96604,0.83655,0.52838,1.6095,1.05785,0.000445625,0.000445625,0.000445625
67,683.779,0.67487,1.27489,1.16919,0.88439,0.94249,0.96604,0.83655,0.52838,1.6095,1.05785,0.00043325,0.00043325,0.00043325
68,693.924,0.55755,0.93957,1.01698,0.90245,0.98271,0.98667,0.84873,0.57336,1.65234,1.13221,0.000420875,0.000420875,0.000420875
69,704.043,0.59634,0.99142,1.03194,0.90245,0.98271,0.98667,0.84873,0.57336,1.65234,1.13221,0.0004085,0.0004085,0.0004085
70,714.217,0.62185,1.20819,1.02113,0.94258,0.82656,0.96604,0.85817,0.54638,1.63235,1.11534,0.000396125,0.000396125,0.000396125
71,724.369,0.66449,1.05724,1.09352,0.94258,0.82656,0.96604,0.85817,0.54638,1.63235,1.11534,0.00038375,0.00038375,0.00038375
72,734.545,0.67712,1.63795,1.13306,0.93267,0.86667,0.96604,0.85303,0.50813,1.56349,1.0861,0.000371375,0.000371375,0.000371375
73,744.68,0.69419,1.08088,1.08536,0.93267,0.86667,0.96604,0.85303,0.50813,1.56349,1.0861,0.000359,0.000359,0.000359
74,754.819,0.65403,1.07277,1.11058,0.95784,0.86667,0.96604,0.85791,0.47681,1.51465,1.06603,0.000346625,0.000346625,0.000346625
75,764.98,0.62543,1.17862,1.14079,0.95784,0.86667,0.96604,0.85791,0.47681,1.51465,1.06603,0.00033425,0.00033425,0.00033425
76,775.204,0.53264,0.94813,1.02821,0.95862,0.92245,0.995,0.91187,0.43466,1.50179,1.01547,0.000321875,0.000321875,0.000321875
77,785.356,0.6165,1.1504,1.10666,0.95862,0.92245,0.995,0.91187,0.43466,1.50179,1.01547,0.0003095,0.0003095,0.0003095
78,795.42,0.60266,1.22594,1.16819,0.963,0.92659,0.995,0.93288,0.40829,1.40686,0.98403,0.000297125,0.000297125,0.000297125
79,805.579,0.64829,1.04032,1.04991,0.963,0.92659,0.995,0.93288,0.40829,1.40686,0.98403,0.00028475,0.00028475,0.00028475
80,815.742,0.60182,1.17651,0.99923,0.97661,0.93326,0.995,0.94044,0.37788,1.38286,0.95192,0.000272375,0.000272375,0.000272375
81,826.378,0.44822,0.89878,0.96043,0.97661,0.93326,0.995,0.94044,0.37788,1.38286,0.95192,0.00026,0.00026,0.00026
82,837.759,0.59251,0.96209,1.03797,0.97482,0.93857,0.995,0.943,0.35352,1.37215,0.9235,0.000247625,0.000247625,0.000247625
83,848.241,0.65389,1.20178,1.08312,0.97482,0.93857,0.995,0.943,0.35352,1.37215,0.9235,0.00023525,0.00023525,0.00023525
84,859.807,0.55929,1.20664,0.99801,0.96966,0.94952,0.995,0.95273,0.34536,1.36635,0.90662,0.000222875,0.000222875,0.000222875
85,871.686,0.67033,1.24544,1.21173,0.96966,0.94952,0.995,0.95273,0.34536,1.36635,0.90662,0.0002105,0.0002105,0.0002105
86,882.45,0.54944,1.18602,1.07793,0.94218,0.98747,0.995,0.93962,0.3506,1.36422,0.89869,0.000198125,0.000198125,0.000198125
